file,gain,bias,comp,df,viol_rate,step_score,res_slope,ripple_var,switch_step_err_max,switch_step_err_ratio,nonswitch_step_max,nonswitch_step_ratio,sys_幅度失准,sys_频率失准,sys_参考电平失准,mod_衰减器,mod_前置放大器,mod_低频段前置低通滤波器,mod_低频段第一混频器,mod_高频段YTF滤波器,mod_高频段混频器,mod_时钟振荡器,mod_时钟合成与同步网络,mod_本振源（谐波发生器）,mod_本振混频组件,mod_校准源,mod_存储器,mod_校准信号开关,mod_中频放大器,mod_ADC,mod_数字RBW,mod_数字放大器,mod_数字检波器,mod_VBW滤波器,mod_电源模块,mod_未定义/其他,flag_bias,flag_gain,flag_comp,flag_df,flag_viol_rate,flag_step_score,flag_res_slope,flag_ripple_var,flag_switch_step_err_max,flag_switch_step_err_ratio,flag_nonswitch_step_max,flag_nonswitch_step_ratio
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_042.csv,0.8974214584192558,0.8869275199724211,-0.0065835569315610964,0.0,0.4275,0.0,1.5714036581308572e-11,0.23911981263101306,0.6272815401861656,0.5,1.3255872326886065,0.37777777777777777,0.21999999978,0.41999999958000006,0.35999999964,0.0711553173981656,0.020198928809801852,0.11476664107954986,0.07651109405303326,0.11476664107954986,0.07651109405303326,0.03936495785092065,0.03936495785092065,0.016870696221823137,0.016870696221823137,0.008814078026095351,0.006610558519571513,0.017628156052190702,0.012624330506126156,0.01782708491183188,0.045906656431819945,0.010099464404900926,0.05355776583712327,0.03825554702651662,0.09181331286363989,0.1104820198015624,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_043.csv,0.8427810910161795,-2.9430779184720866,-0.0075515320375108,0.0,0.9832,0.0,1.2918540347282603e-11,0.36368626129336046,0.6845416885881805,0.5,1.679020089727476,0.4444444444444444,0.21999999978,0.41999999957999995,0.35999999964000007,0.07115531739816562,0.02019892880980185,0.11476664107954987,0.07651109405303325,0.11476664107954987,0.07651109405303325,0.03936495785092064,0.03936495785092064,0.01687069622182313,0.01687069622182313,0.008814078026095355,0.006610558519571516,0.01762815605219071,0.012624330506126154,0.01782708491183188,0.045906656431819945,0.010099464404900924,0.053557765837123274,0.03825554702651662,0.09181331286363989,0.11048201980156241,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_044.csv,0.9778568532350681,0.060390106941107254,-0.005906695539320828,0.0,0.1038,0.0,2.3013835892691062e-11,0.08796312577725723,1.1550955912932899,1.0,1.4578130014853574,0.35555555555555557,0.21999999978000004,0.41999999957999995,0.35999999963999996,0.0711553173981656,0.020198928809801855,0.11476664107954988,0.07651109405303326,0.11476664107954988,0.07651109405303326,0.03936495785092064,0.03936495785092064,0.016870696221823134,0.016870696221823134,0.008814078026095353,0.006610558519571513,0.017628156052190706,0.012624330506126158,0.01782708491183188,0.04590665643181995,0.010099464404900928,0.053557765837123274,0.03825554702651662,0.0918133128636399,0.11048201980156241,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_045.csv,0.9261258140023247,0.07762655434836102,-0.006424941394009287,0.0,0.1049,0.0,1.6649206270078725e-11,0.16475270324200783,0.6787311696030107,1.0,1.3648230815724771,0.4,0.21999999978,0.41999999958000006,0.35999999964,0.07115531739816561,0.02019892880980185,0.11476664107954984,0.07651109405303325,0.11476664107954984,0.07651109405303325,0.039364957850920645,0.039364957850920645,0.016870696221823137,0.016870696221823137,0.008814078026095351,0.006610558519571513,0.017628156052190702,0.012624330506126154,0.017827084911831877,0.04590665643181994,0.010099464404900924,0.05355776583712326,0.038255547026516616,0.09181331286363989,0.1104820198015624,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_046.csv,0.9320508467681009,0.6409287816311441,-0.0064858584982134815,0.0,0.3153,0.0,1.7285389223131347e-11,0.08227244813924728,1.0115240494490734,0.5,1.2801479541676408,0.3333333333333333,0.21999999977999998,0.41999999958000006,0.35999999964000007,0.07115531739816562,0.020198928809801845,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.03936495785092065,0.03936495785092065,0.016870696221823137,0.016870696221823137,0.008814078026095356,0.006610558519571516,0.017628156052190713,0.012624330506126153,0.01782708491183188,0.04590665643181995,0.010099464404900923,0.05355776583712327,0.03825554702651662,0.0918133128636399,0.11048201980156243,warn,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_047.csv,0.9050022802947374,0.08721488837468941,-0.00661696802414663,0.0,0.1183,0.0,1.5707612654872246e-11,0.18961929261797278,0.6187863326093432,1.0,1.3231078448566376,0.35555555555555557,0.21999999978000004,0.4199999995800001,0.35999999964,0.07115531739816562,0.020198928809801862,0.11476664107954991,0.07651109405303327,0.11476664107954991,0.07651109405303327,0.03936495785092067,0.03936495785092067,0.016870696221823148,0.016870696221823148,0.008814078026095356,0.006610558519571517,0.017628156052190713,0.012624330506126163,0.017827084911831888,0.045906656431819966,0.010099464404900931,0.05355776583712329,0.03825554702651664,0.09181331286363995,0.11048201980156246,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_048.csv,1.000956295116431,-2.9461231075138277,-0.005150137222334816,0.0,0.9873,0.0,2.2340507635947644e-11,0.09800580576122946,0.8800700104990185,1.0,1.319419939027965,0.4,0.21999999978,0.41999999958,0.35999999964,0.0711553173981656,0.02019892880980185,0.11476664107954984,0.07651109405303325,0.11476664107954984,0.07651109405303325,0.03936495785092064,0.03936495785092064,0.01687069622182313,0.01687069622182313,0.008814078026095353,0.006610558519571513,0.017628156052190706,0.012624330506126154,0.017827084911831877,0.04590665643181994,0.010099464404900924,0.05355776583712326,0.038255547026516616,0.09181331286363989,0.1104820198015624,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_049.csv,0.9406738954216183,0.12616348448540807,-0.006234251246389377,0.0,0.1165,0.0,2.3259078246569105e-11,0.19201880727961415,1.0859095867590405,1.0,1.1152569694006416,0.4,0.21999999977999998,0.41999999958,0.35999999963999996,0.07115531739816558,0.020198928809801845,0.11476664107954986,0.07651109405303326,0.11476664107954986,0.07651109405303326,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095351,0.006610558519571512,0.017628156052190702,0.012624330506126153,0.01782708491183188,0.045906656431819945,0.010099464404900923,0.05355776583712327,0.03825554702651662,0.09181331286363989,0.1104820198015624,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_050.csv,1.0041566335898793,-0.6974136691120242,-0.004908338565367043,0.0,0.4407,0.0,2.8137969458520088e-11,0.26308044813360126,1.0487390081030186,0.5,1.4235631180971753,0.3111111111111111,0.21999999978,0.41999999957999995,0.35999999963999996,0.07115531739816561,0.020198928809801852,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.03936495785092064,0.03936495785092064,0.01687069622182313,0.01687069622182313,0.008814078026095353,0.006610558519571514,0.017628156052190706,0.012624330506126158,0.017827084911831884,0.04590665643181995,0.010099464404900926,0.053557765837123274,0.03825554702651663,0.0918133128636399,0.11048201980156243,warn,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_051.csv,0.9492744762763028,-0.9077664452927355,-0.006022846145583682,0.0,0.501,0.0,2.0010111235663734e-11,0.14387762751627622,0.8066525897598396,0.5,1.3425099355707213,0.4666666666666667,0.21999999978000004,0.41999999958000006,0.35999999964000007,0.07115531739816561,0.02019892880980185,0.11476664107954987,0.07651109405303325,0.11476664107954987,0.07651109405303325,0.03936495785092065,0.03936495785092065,0.016870696221823137,0.016870696221823137,0.008814078026095355,0.006610558519571515,0.01762815605219071,0.012624330506126154,0.017827084911831877,0.045906656431819945,0.010099464404900924,0.05355776583712327,0.03825554702651662,0.09181331286363989,0.1104820198015624,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_052.csv,0.9364600876685635,-1.973171205553142,-0.006409017256014948,0.0,0.9273,0.0,1.880453976997188e-11,0.12947303977236735,0.7418607677932805,1.0,1.2704936186557052,0.4666666666666667,0.21999999978,0.41999999958000006,0.35999999964,0.07115531739816562,0.020198928809801852,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.03936495785092066,0.03936495785092066,0.01687069622182314,0.01687069622182314,0.008814078026095355,0.006610558519571516,0.01762815605219071,0.012624330506126158,0.017827084911831884,0.04590665643181995,0.010099464404900926,0.05355776583712328,0.03825554702651663,0.09181331286363992,0.11048201980156243,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_053.csv,0.9932889577014744,0.6642878040889417,-0.00439938026948794,0.0,0.395,0.0,2.6805456646895018e-11,0.3735566436046857,1.1519870443898874,1.0,1.416335341772807,0.4666666666666667,0.21999999978,0.41999999957999995,0.35999999964000007,0.07115531739816564,0.020198928809801855,0.11476664107954987,0.07651109405303327,0.11476664107954987,0.07651109405303327,0.03936495785092064,0.03936495785092064,0.016870696221823134,0.016870696221823134,0.008814078026095355,0.006610558519571516,0.01762815605219071,0.012624330506126156,0.017827084911831884,0.04590665643181995,0.010099464404900928,0.05355776583712328,0.03825554702651663,0.09181331286363992,0.11048201980156241,warn,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_054.csv,0.960682702852957,0.07712065278644141,-0.005884834086426927,0.0,0.1082,0.0,2.3534599682617482e-11,0.18189055120773018,0.5983545315641073,0.5,1.242763867260603,0.35555555555555557,0.21999999977999996,0.41999999957999995,0.35999999964000007,0.07115531739816561,0.02019892880980184,0.11476664107954986,0.07651109405303326,0.11476664107954986,0.07651109405303326,0.03936495785092064,0.03936495785092064,0.016870696221823134,0.016870696221823134,0.008814078026095355,0.006610558519571515,0.01762815605219071,0.012624330506126151,0.01782708491183188,0.04590665643181995,0.01009946440490092,0.05355776583712328,0.03825554702651663,0.09181331286363989,0.11048201980156243,ok,alarm,ok,ok,warn,ok,ok,alarm,warn,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_055.csv,0.9542842960202318,-2.6005234320624337,-0.005203567580735147,0.0,0.9675,0.0,2.231738785021073e-11,0.31833548887171065,0.9011555573327286,1.0,1.4777050435207877,0.37777777777777777,0.21999999978,0.41999999957999995,0.35999999964000007,0.07115531739816561,0.02019892880980185,0.11476664107954984,0.07651109405303325,0.11476664107954984,0.07651109405303325,0.03936495785092063,0.03936495785092063,0.01687069622182313,0.01687069622182313,0.008814078026095355,0.006610558519571515,0.01762815605219071,0.012624330506126156,0.017827084911831884,0.04590665643181995,0.010099464404900924,0.053557765837123274,0.03825554702651662,0.09181331286363989,0.11048201980156241,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_056.csv,0.945044195202537,-2.1000930068871893,-0.005937345601536359,0.0,0.926,0.0,2.0759027856244972e-11,0.20640290794013216,0.9232965895775482,0.5,0.9751139682709644,0.37777777777777777,0.21999999977999998,0.41999999958,0.35999999963999996,0.0711553173981656,0.02019892880980185,0.11476664107954987,0.07651109405303325,0.11476664107954987,0.07651109405303325,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095351,0.006610558519571513,0.017628156052190702,0.012624330506126153,0.01782708491183188,0.04590665643181995,0.010099464404900924,0.053557765837123274,0.03825554702651663,0.09181331286363989,0.11048201980156243,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_057.csv,0.9828620183340309,1.3829550964650215,-0.00591605068127854,0.0,0.7017,0.0,2.3773583633020578e-11,0.08466309752416878,0.8305635924746558,1.0,1.2089704151183422,0.3333333333333333,0.21999999977999996,0.41999999958000006,0.35999999964,0.0711553173981656,0.02019892880980184,0.11476664107954983,0.07651109405303323,0.11476664107954983,0.07651109405303323,0.03936495785092064,0.03936495785092064,0.016870696221823134,0.016870696221823134,0.008814078026095353,0.006610558519571513,0.017628156052190706,0.01262433050612615,0.01782708491183188,0.04590665643181994,0.01009946440490092,0.05355776583712327,0.038255547026516616,0.09181331286363986,0.1104820198015624,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_058.csv,0.9485960925458986,0.9466381295507829,-0.006367085736517897,0.0,0.4318,0.0,1.9649627778220215e-11,0.11227963319445249,0.610079384215493,1.0,1.1252930982261509,0.37777777777777777,0.21999999977999998,0.41999999958,0.35999999964,0.0711553173981656,0.02019892880980184,0.11476664107954986,0.07651109405303325,0.11476664107954986,0.07651109405303325,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095351,0.006610558519571513,0.017628156052190702,0.012624330506126151,0.017827084911831877,0.04590665643181994,0.01009946440490092,0.05355776583712326,0.038255547026516616,0.09181331286363989,0.11048201980156239,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_059.csv,0.962533158730156,-3.621636204975116,-0.005859755573206726,0.0,0.9963,0.0,1.9709063263324868e-11,0.14267057904965683,1.2116147059401765,0.5,1.2154984588395181,0.4222222222222222,0.21999999978,0.4199999995800001,0.35999999964,0.0711553173981656,0.020198928809801852,0.11476664107954986,0.07651109405303325,0.11476664107954986,0.07651109405303325,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095351,0.006610558519571514,0.017628156052190702,0.012624330506126158,0.017827084911831884,0.045906656431819945,0.010099464404900926,0.05355776583712327,0.03825554702651662,0.09181331286363989,0.11048201980156241,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_060.csv,0.8961802521396899,0.11964311075105642,-0.0068231923836784,0.0,0.1445,0.0,1.8266607805732344e-11,0.26581521082318493,1.0872485161192116,0.5,1.5539842375287325,0.35555555555555557,0.21999999977999996,0.41999999957999995,0.35999999963999996,0.0711553173981656,0.020198928809801845,0.11476664107954988,0.07651109405303326,0.11476664107954988,0.07651109405303326,0.03936495785092064,0.03936495785092064,0.016870696221823134,0.016870696221823134,0.008814078026095351,0.006610558519571513,0.017628156052190702,0.012624330506126153,0.017827084911831884,0.04590665643181995,0.010099464404900923,0.053557765837123274,0.03825554702651663,0.09181331286363992,0.11048201980156243,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_061.csv,0.9795954147384507,-2.5106494856085373,-0.005950660334378188,0.0,0.968,0.0,2.30931311433208e-11,0.11482237655911472,0.5992235135402031,1.0,1.3588536079369196,0.4,0.21999999978,0.41999999958,0.35999999964,0.07115531739816561,0.02019892880980185,0.11476664107954986,0.07651109405303325,0.11476664107954986,0.07651109405303325,0.03936495785092064,0.03936495785092064,0.01687069622182313,0.01687069622182313,0.008814078026095353,0.006610558519571514,0.017628156052190706,0.012624330506126154,0.01782708491183188,0.045906656431819945,0.010099464404900924,0.053557765837123274,0.03825554702651662,0.09181331286363989,0.11048201980156241,alarm,alarm,ok,ok,alarm,ok,ok,alarm,warn,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_062.csv,0.9500056897014459,-0.42676612107287754,-0.005956408842881164,0.0,0.3224,0.0,1.8675780106313502e-11,0.13269888712211778,0.9854324015749992,1.0,1.3698479781165713,0.4444444444444444,0.21999999978,0.41999999958,0.35999999964,0.07115531739816561,0.020198928809801855,0.11476664107954988,0.07651109405303326,0.11476664107954988,0.07651109405303326,0.03936495785092065,0.03936495785092065,0.016870696221823137,0.016870696221823137,0.008814078026095355,0.006610558519571515,0.01762815605219071,0.01262433050612616,0.017827084911831884,0.04590665643181996,0.010099464404900928,0.05355776583712328,0.03825554702651663,0.09181331286363992,0.11048201980156243,warn,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_063.csv,0.9515999413072872,-3.1518314038673876,-0.006384983830299618,0.0,0.9945,0.0,1.7913978840761963e-11,0.0647880891292339,1.0897475096416218,1.0,1.1726923128313027,0.3333333333333333,0.21999999978,0.41999999958,0.35999999964,0.07115531739816561,0.020198928809801852,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095351,0.006610558519571514,0.017628156052190702,0.012624330506126156,0.01782708491183188,0.04590665643181995,0.010099464404900926,0.05355776583712328,0.03825554702651663,0.09181331286363989,0.11048201980156241,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_064.csv,0.9252062355297628,0.08139174214625546,-0.006594239999931695,0.0,0.1042,0.0,1.804646495242999e-11,0.14686664805927943,0.5948191048184951,1.0,1.5769942083252921,0.4,0.21999999978,0.41999999958000006,0.35999999964,0.07115531739816561,0.020198928809801852,0.11476664107954984,0.07651109405303325,0.11476664107954984,0.07651109405303325,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095353,0.006610558519571514,0.017628156052190706,0.012624330506126156,0.017827084911831884,0.045906656431819945,0.010099464404900926,0.05355776583712327,0.03825554702651662,0.09181331286363989,0.11048201980156241,ok,alarm,ok,ok,warn,ok,ok,alarm,warn,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_065.csv,0.9886741608803046,-2.9126676852463564,-0.005378103384030997,0.0,0.9848,0.0,2.517848454082126e-11,0.13223738933799487,0.9795593416506425,1.0,1.472182519536601,0.4888888888888889,0.21999999977999998,0.41999999958,0.35999999963999996,0.0711553173981656,0.020198928809801845,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.00881407802609535,0.0066105585195715124,0.0176281560521907,0.012624330506126153,0.01782708491183188,0.045906656431819945,0.010099464404900923,0.05355776583712326,0.03825554702651662,0.0918133128636399,0.1104820198015624,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
